iter	Logloss
0	0.6379217412
1	0.6007783066
2	0.5672504687
3	0.5506978401
4	0.5265226481
5	0.5109917611
6	0.494408066
7	0.4818860704
8	0.4643248888
9	0.4539428461
10	0.4447845026
11	0.4346492697
12	0.4247337834
13	0.4176126741
14	0.4102875198
15	0.4066013467
16	0.4024049344
17	0.3982738859
18	0.3938370057
19	0.391462503
20	0.3880838275
21	0.3844961824
22	0.3816384527
23	0.3788217159
24	0.3763695818
25	0.373126585
26	0.370458064
27	0.3648715669
28	0.3636767576
29	0.3618716031
30	0.3590480692
31	0.35730886
32	0.3545088679
33	0.3534945261
34	0.3514666993
35	0.3468441495
36	0.3450182625
37	0.3420481431
38	0.338465114
39	0.3365580857
40	0.3336889119
41	0.3319287545
42	0.3302006928
43	0.3284501216
44	0.3264481285
45	0.3236319024
46	0.3206451917
47	0.318347681
48	0.3154041694
49	0.3136607465
50	0.3099664425
51	0.3085831895
52	0.3073506106
53	0.304888729
54	0.3029423772
55	0.2996108052
56	0.2977333395
57	0.2961156171
58	0.2949918652
59	0.2942670438
60	0.2923071112
61	0.2893559021
62	0.2862642838
63	0.2835929389
64	0.2819386736
65	0.2781307266
66	0.2765070353
67	0.274476897
68	0.2718371009
69	0.2689757266
70	0.2662912568
71	0.263486151
72	0.2614671278
73	0.2588461093
74	0.2584349186
75	0.2567312467
76	0.2541541346
77	0.2521429821
78	0.2508038186
79	0.2486055473
80	0.2472188889
81	0.24543222
82	0.2438012355
83	0.2420647363
84	0.2403072545
85	0.2389104177
86	0.2375209636
87	0.2347545881
88	0.2335705468
89	0.2314796103
90	0.2311067242
91	0.2294217936
92	0.2256951002
93	0.2242348493
94	0.2230875845
95	0.2214517997
96	0.2185411674
97	0.2174751009
98	0.2157179519
99	0.2136118551
100	0.2103135676
101	0.2086613562
102	0.2070639188
103	0.2042017935
104	0.2018135011
105	0.199418712
106	0.1972967639
107	0.1967827778
108	0.1942801571
109	0.1932473811
110	0.1920856201
111	0.1905617301
112	0.1901317054
113	0.1869332147
114	0.1855287846
115	0.1839361146
116	0.1820970388
117	0.1798374154
118	0.1782127552
119	0.176276415
120	0.1754374707
121	0.1733320694
122	0.1725214007
123	0.1716241687
124	0.1710364847
125	0.1695623118
126	0.1681792809
127	0.166489152
128	0.1657892945
129	0.1637430867
130	0.1624896145
131	0.1615825067
132	0.1596132192
133	0.1586675846
134	0.1574789732
135	0.1567200786
136	0.1552994187
137	0.1544517657
138	0.1538484686
139	0.1532143808
140	0.1520238008
141	0.1505723973
142	0.148741626
143	0.1474030911
144	0.1460108688
145	0.1444031392
146	0.1437606907
147	0.1431996201
148	0.1427521895
149	0.1418273737
150	0.1410697166
151	0.1393810188
152	0.1389677245
153	0.138622909
154	0.1379664468
155	0.1370371608
156	0.1367553817
157	0.1351498378
158	0.1338199065
159	0.1336583993
160	0.1334276209
161	0.1331946838
162	0.132661401
163	0.1314184065
164	0.1309818298
165	0.1297623255
166	0.1287810073
167	0.1273599453
168	0.1259863061
169	0.1254344544
170	0.1237807999
171	0.1226612029
172	0.1217682019
173	0.1204415484
174	0.1200629337
175	0.1197353734
176	0.1186874654
177	0.1185509561
178	0.117338635
179	0.1172560909
180	0.1166474192
181	0.1158272999
182	0.1148032771
183	0.1133698772
184	0.1121903613
185	0.1110931459
186	0.1102672
187	0.1093886346
188	0.1087794597
189	0.107989366
190	0.107139691
191	0.1069543566
192	0.1065089924
193	0.1058022236
194	0.1050636961
195	0.1042836917
196	0.1037370503
197	0.1031755327
198	0.1023445409
199	0.1016566092
