iter	Passed	Remaining
0	2	487
1	4	472
2	7	479
3	9	474
4	11	464
5	14	460
6	16	451
7	18	449
8	20	442
9	23	438
10	25	436
11	27	430
12	29	426
13	32	425
14	34	423
15	36	419
16	38	414
17	40	410
18	42	407
19	44	403
20	46	398
21	48	394
22	50	390
23	53	388
24	55	387
25	57	384
26	59	381
27	61	378
28	63	375
29	65	371
30	67	368
31	69	365
32	71	363
33	73	360
34	75	358
35	78	355
36	80	352
37	82	349
38	84	347
39	86	344
40	88	341
41	90	339
42	92	336
43	94	333
44	96	331
45	98	328
46	100	326
47	102	324
48	104	321
49	106	319
50	108	317
51	110	314
52	112	312
53	114	310
54	117	309
55	119	307
56	121	304
57	123	302
58	125	299
59	127	297
60	129	295
61	131	292
62	133	290
63	135	288
64	137	286
65	140	284
66	142	282
67	144	280
68	146	278
69	148	276
70	151	274
71	153	272
72	155	270
73	157	268
74	159	266
75	162	264
76	164	262
77	166	260
78	168	258
79	171	257
80	173	255
81	176	253
82	178	251
83	180	249
84	183	248
85	185	246
86	188	244
87	190	242
88	193	241
89	195	239
90	198	237
91	200	235
92	202	233
93	204	231
94	206	228
95	208	226
96	210	223
97	212	221
98	214	219
99	216	216
100	218	214
101	220	212
102	223	210
103	225	208
104	227	206
105	230	204
106	232	201
107	234	199
108	236	197
109	239	195
110	241	193
111	243	191
112	245	189
113	248	187
114	250	185
115	252	182
116	254	180
117	257	178
118	259	176
119	261	174
120	263	172
121	266	170
122	268	168
123	271	166
124	273	164
125	275	161
126	277	159
127	280	157
128	282	155
129	284	153
130	286	151
131	288	148
132	290	146
133	293	144
134	295	142
135	297	139
136	299	137
137	302	135
138	304	133
139	306	131
140	308	129
141	311	127
142	313	124
143	315	122
144	317	120
145	319	118
146	321	116
147	324	113
148	326	111
149	328	109
150	330	107
151	332	105
152	335	102
153	337	100
154	339	98
155	341	96
156	343	94
157	346	92
158	348	89
159	350	87
160	352	85
161	354	83
162	356	81
163	359	78
164	361	76
165	363	74
166	365	72
167	367	70
168	370	67
169	372	65
170	374	63
171	376	61
172	378	59
173	380	56
174	382	54
175	385	52
176	387	50
177	389	48
178	391	45
179	393	43
180	396	41
181	398	39
182	400	37
183	402	35
184	404	32
185	406	30
186	408	28
187	410	26
188	412	24
189	414	21
190	416	19
191	418	17
192	420	15
193	422	13
194	424	10
195	427	8
196	429	6
197	431	4
198	433	2
199	435	0
